delivery_id,order_id,delivery_status,delivery_time,rider_id
1,7055,Delivered,00:49:35,3375
2,6663,Not Delivered,00:18:59,5273
3,1428,Delivered,00:06:51,4668
4,1840,Not Delivered,00:38:44,4661
5,7040,Delivered,01:21:32,4891
6,3929,Delivered,00:27:45,3229
7,1661,Not Delivered,00:51:00,1681
8,6435,Not Delivered,01:28:59,9872
9,5653,Not Delivered,01:23:08,2524
10,3672,Delivered,00:18:44,3015
11,2132,Delivered,01:07:14,2106
12,7129,Delivered,00:30:14,2145
13,6378,Delivered,01:08:15,3607
14,1967,Delivered,01:39:01,9714
15,5791,Delivered,01:22:43,9421
16,9971,Not Delivered,01:28:13,6871
17,6595,Not Delivered,01:28:18,5629
18,9557,Delivered,01:12:18,3465
19,385,Delivered,00:37:29,302
20,8233,In Transit,00:37:50,417
21,4336,Delivered,00:29:31,4173
22,8387,In Transit,01:31:03,7690
23,3887,Delivered,00:11:03,2520
24,409,Delivered,01:37:19,6144
25,7325,Order Placed,00:31:21,856
26,7077,Not Delivered,00:23:23,7849
27,3301,Delivered,01:42:10,1381
28,5993,Delivered,00:13:57,3409
29,6004,Delivered,01:07:52,557
30,2205,Delivered,01:24:17,2462
31,2390,Delivered,00:58:22,4977
32,8424,Delivered,00:19:04,4193
33,9218,Delivered,01:46:28,2123
34,3331,Delivered,00:51:04,4390
35,6919,Delivered,01:26:00,5793
36,9143,Delivered,00:53:41,3747
37,5830,Delivered,00:06:42,9272
38,2759,Order Placed,01:12:33,9739
39,4656,Delivered,00:47:07,4250
40,9417,Delivered,00:41:32,100
41,3077,Delivered,00:29:31,597
42,1749,Not Delivered,01:06:48,6914
43,9863,Delivered,00:26:24,5336
44,7626,Order Placed,01:33:10,9299
45,2127,Order Placed,00:28:31,9686
46,5160,Delivered,00:11:58,4894
47,7932,Delivered,01:48:13,3796
48,5479,In Transit,00:41:40,8654
49,5520,Delivered,00:33:15,6262
50,5927,Delivered,01:41:49,9825
51,8240,Order Placed,01:37:34,6557
52,5025,Delivered,01:52:01,2963
53,8763,Delivered,00:42:02,9207
54,4566,Delivered,00:57:11,2110
55,1724,Delivered,01:09:32,932
56,6326,Order Placed,01:09:36,3871
57,4754,Delivered,01:30:02,6311
58,3735,Delivered,01:48:37,696
59,659,Delivered,01:53:53,1344
60,5671,In Transit,01:15:48,222
61,190,Delivered,01:55:03,9976
62,6761,Delivered,00:23:37,3229
63,1380,Not Delivered,00:41:31,3388
64,1613,Delivered,01:28:51,1105
65,4625,Delivered,01:20:53,8189
66,8151,Delivered,00:11:23,9817
67,8236,Delivered,00:44:16,8660
68,8053,Delivered,00:14:16,35
69,1270,Delivered,01:31:16,1011
70,6714,In Transit,00:23:54,8923
71,9415,Delivered,01:57:01,7919
72,9120,Not Delivered,01:16:58,146
73,6717,In Transit,00:26:21,601
74,3790,Delivered,01:56:32,433
75,4527,Delivered,01:06:10,5662
76,2742,In Transit,00:05:09,4529
77,3334,Order Placed,00:15:23,5163
78,3403,Delivered,00:58:19,3924
79,82,Delivered,01:53:40,1451
80,6942,Not Delivered,00:50:26,9576
81,115,Delivered,00:23:34,9898
82,2835,Delivered,01:44:27,8620
83,9632,Delivered,00:24:14,9918
84,9916,Delivered,00:25:46,1216
85,3689,Delivered,01:18:49,2207
86,839,Delivered,00:35:03,5207
87,7942,Delivered,01:24:15,8928
88,4525,Delivered,00:14:47,102
89,7366,Delivered,01:54:53,8400
90,9223,Delivered,00:21:06,1824
91,8183,Not Delivered,01:45:47,988
92,1131,Delivered,01:18:23,1985
93,4548,Delivered,00:41:04,7320
94,991,Delivered,01:25:08,1285
95,5916,Not Delivered,00:25:20,4359
96,1186,In Transit,00:07:51,5102
97,9199,Delivered,00:24:29,92
98,9501,Delivered,01:08:14,5438
99,5587,Delivered,00:07:35,2682
100,6766,Delivered,01:36:38,7621
101,2460,Delivered,01:35:28,5493
102,7338,Not Delivered,01:42:56,9885
103,2640,Order Placed,00:17:43,842
104,2594,Delivered,01:37:18,4650
105,3893,Delivered,01:43:17,7733
106,4638,Delivered,00:10:57,6333
107,6375,Delivered,00:17:28,4808
108,988,Not Delivered,00:18:42,7085
109,5652,Delivered,00:55:54,5812
110,6281,Delivered,00:25:36,6730
111,6647,Delivered,00:37:50,5097
112,990,Delivered,00:36:53,9176
113,8620,Delivered,01:07:57,3514
114,4843,Not Delivered,01:28:01,8545
115,4771,Delivered,01:16:57,3897
116,1442,Delivered,01:51:11,5529
117,8148,Delivered,01:39:39,4577
118,9520,Delivered,00:06:43,7346
119,4476,Delivered,01:20:29,1460
120,7775,Delivered,00:53:16,4102
121,8649,Order Placed,00:20:56,5140
122,1497,Order Placed,00:40:16,2775
123,9784,Order Placed,00:35:32,5393
124,8449,Delivered,00:29:17,5074
125,4117,Delivered,00:38:59,9262
126,1934,Delivered,01:54:51,6330
127,57,Delivered,01:40:10,3989
128,9914,Delivered,00:55:37,96
129,9014,Not Delivered,01:37:00,686
130,6593,Delivered,00:41:23,5390
131,2267,Delivered,01:58:49,2872
132,372,Order Placed,00:51:40,8773
133,6891,In Transit,01:42:57,8702
134,421,Delivered,01:37:18,7310
135,8513,Delivered,01:20:42,7206
136,8441,Delivered,00:42:21,7922
137,5232,Delivered,01:24:15,8024
138,3320,Delivered,00:45:57,9026
139,3183,In Transit,00:31:02,1221
140,8991,Delivered,00:45:20,7908
141,5981,In Transit,01:15:24,2124
142,9193,Delivered,00:48:27,8137
143,7508,Not Delivered,01:55:37,172
144,9347,Delivered,00:18:04,3500
145,4031,Delivered,00:16:11,433
146,302,Delivered,00:34:43,6350
147,7232,Delivered,00:51:21,4558
148,4933,Delivered,01:26:39,4983
149,864,Delivered,01:53:30,5898
150,9229,Not Delivered,01:48:00,1220
151,8281,Order Placed,01:57:00,2861
