order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,9189,7189,Dal Tadka,04-11-2023,13:05:41,Completed,1416
2,3330,1535,Hyderabadi Biryani,05-04-2024,19:52:27,Completed,365
3,4161,7277,Palak Paneer,13-10-2023,19:12:04,Completed,1635
4,178,1296,Tamarind Rice,30-09-2024,14:04:06,Completed,1029
5,8250,3078,Jalebi,26-05-2023,20:28:29,Cancelled,1402
6,8447,9300,Kheer,16-08-2024,18:32:40,Completed,2033
7,1564,2195,Paneer Bhurji,17-06-2024,08:17:18,Completed,753
8,8569,8288,Kheer,30-07-2022,18:44:37,Cancelled,760
9,7416,4825,Shammi Kebab,20-06-2024,11:32:18,Completed,1520
10,9758,3256,Galouti Kebab,08-08-2024,12:15:24,Completed,498
11,5962,7378,Aloo Gobi,09-05-2024,02:17:10,Completed,1402
12,7275,1926,Paneer Bhurji,05-08-2022,09:29:56,Completed,249
13,1916,3248,Masala Papad,14-09-2022,12:34:40,Completed,332
14,3520,9764,Lemon Rice,30-12-2023,05:07:43,Completed,1318
15,5321,6938,Matar Paneer,05-05-2023,13:02:01,Completed,1789
16,2593,757,Rasgulla,11-08-2022,10:43:11,Completed,356
17,2478,5247,Hyderabadi Biryani,01-01-2024,13:06:46,Cancelled,661
18,5049,8783,Bhindi Masala,10-06-2023,18:12:25,Completed,322
19,943,9558,Rabri,16-10-2023,19:52:27,Completed,778
20,6768,7408,Pav Bhaji,04-11-2024,16:44:16,Completed,2099
21,2374,5999,Sambar Rice,02-09-2024,05:36:15,Completed,226
22,627,9892,Chole Bhature,23-08-2022,08:46:20,Cancelled,2004
23,7798,7835,Pulao,03-05-2023,11:56:11,Completed,808
24,648,6477,Chole Bhature,30-06-2023,17:46:11,Completed,2217
25,3382,9421,Tamarind Rice,29-07-2023,14:59:23,Completed,530
26,9963,8829,Jeera Rice,03-06-2023,20:01:29,Completed,801
27,9625,1302,Phirni,12-02-2024,17:27:10,Completed,961
28,2514,9855,Grilled Fish,29-01-2023,15:09:14,Completed,834
29,1051,68,Hyderabadi Biryani,23-03-2024,13:28:06,Completed,1935
30,6807,1476,Poha,08-12-2022,00:56:27,Completed,1817
31,7349,1218,Jeera Rice,25-04-2023,12:23:25,Completed,115
32,6276,7244,Matar Paneer,09-06-2023,19:02:22,Completed,207
33,7580,2190,Medu Vada,22-06-2023,17:30:19,Completed,666
34,2078,9241,Butter Chicken,06-10-2023,19:30:05,Completed,1766
35,7168,2591,Vada Pav,28-04-2023,07:41:58,Completed,462
36,2752,2798,Bisi Bele Bath,05-11-2024,15:19:50,Completed,1374
37,9742,5231,Prawn Masala,05-11-2024,20:56:28,Completed,352
38,1242,3850,Masala Dosa,22-05-2023,08:28:27,Completed,1292
39,8962,2434,Rava Dosa,02-08-2024,12:04:14,Completed,561
40,7518,5767,Halwa,21-10-2022,10:05:42,Completed,1514
41,723,3655,Rasgulla,03-08-2022,16:45:46,Completed,2027
42,7586,8364,Nihari,04-08-2022,17:42:23,Cancelled,1704
43,9135,5124,Idli Sambhar,09-11-2023,09:24:51,Completed,687
44,7576,346,Shammi Kebab,21-01-2024,14:26:15,Completed,2349
45,7560,9441,Pesarattu,10-01-2023,09:20:41,Completed,908
46,6241,4508,Poha,23-10-2022,10:19:18,Completed,2189
47,8733,1065,Garlic Naan,01-12-2022,08:23:33,Completed,2146
48,9502,8035,Aloo Paratha,04-10-2023,14:39:26,Cancelled,597
49,6694,4834,Kulfi,12-05-2023,13:55:46,Completed,1209
50,7931,8266,Pesarattu,16-05-2024,04:13:46,Completed,2373
51,2190,2453,Biryani,10-08-2024,13:45:46,Cancelled,562
52,472,6595,Pulao,21-07-2023,05:58:30,Completed,1535
53,4606,5656,Pesarattu,03-09-2024,08:14:46,Cancelled,1627
54,8177,9505,Sambar Rice,27-12-2023,03:20:50,Cancelled,167
55,8977,1409,Butter Naan,04-02-2024,11:58:40,Completed,1165
56,3448,381,Garlic Naan,14-12-2024,11:21:42,Completed,1295
57,777,5750,Chole Bhature,13-11-2024,22:08:11,Completed,1050
58,8746,7176,Biryani,07-09-2023,17:05:22,Completed,532
59,8613,1939,Matar Paneer,02-02-2024,19:30:51,Completed,888
60,6134,7297,Hyderabadi Biryani,13-07-2023,20:53:51,Completed,287
61,5880,7652,Pesarattu,28-11-2024,15:00:32,Completed,1007
62,1363,7069,Egg Curry,21-03-2023,15:40:48,Completed,1694
63,3728,5580,Uttapam,23-07-2023,08:51:54,Completed,676
64,7245,4947,Phirni,05-09-2023,07:16:19,Completed,2416
65,473,2308,Tamarind Rice,01-12-2024,06:50:21,Cancelled,672
66,6917,4642,Butter Chicken,09-05-2024,06:50:29,Completed,2241
67,6322,6076,Rasgulla,29-12-2023,06:36:28,Completed,961
68,1309,9246,Butter Chicken,01-06-2024,07:17:36,Completed,1625
69,3597,8450,Vada Pav,17-09-2023,16:32:22,Completed,1734
70,8194,4247,Gulab Jamun,27-07-2022,20:36:28,Completed,1815
71,942,415,Hyderabadi Biryani,02-11-2024,08:22:42,Cancelled,1203
72,6272,6125,Halwa,14-05-2024,20:20:14,Completed,1660
73,2022,896,Garlic Naan,31-07-2024,11:14:03,Cancelled,2048
74,2826,342,Phirni,25-09-2022,18:01:55,Completed,1328
75,1802,9104,Shahi Paneer,25-05-2024,20:11:09,Cancelled,2318
76,9624,6999,Dal Makhani,19-05-2023,21:44:53,Completed,1095
77,2622,4922,Mixed Veg,07-11-2023,16:20:18,Completed,481
78,4740,8488,Dal Tadka,25-08-2023,08:26:49,Cancelled,2485
79,4624,2586,Bhindi Masala,03-08-2023,21:09:17,Cancelled,1235
80,4770,507,Rasgulla,09-12-2022,19:45:26,Completed,668
81,1517,9041,Sambar Rice,28-01-2024,21:37:00,Completed,862
82,4101,4852,Dal Tadka,26-08-2024,04:47:19,Completed,329
83,2297,5371,Pulao,10-05-2024,06:02:53,Completed,1837
84,4340,6373,Dal Tadka,14-02-2023,17:31:54,Cancelled,1999
85,3281,5614,Rabri,03-07-2022,16:18:45,Completed,1946
86,6358,7729,Shammi Kebab,15-11-2022,20:46:24,Completed,281
87,1619,423,Hyderabadi Biryani,13-08-2022,10:44:04,Completed,2255
88,9604,973,Kadai Chicken,24-02-2023,18:27:12,Completed,2375
89,1389,1372,Hyderabadi Biryani,12-06-2024,17:06:38,Completed,1339
90,4977,9205,Jeera Rice,29-05-2023,09:57:15,Completed,604
91,9171,9503,Nihari,17-06-2023,21:05:43,Completed,1659
92,4992,3881,Kadai Chicken,13-05-2023,12:08:15,Cancelled,1154
93,3752,3193,Garlic Naan,05-02-2024,08:00:11,Completed,2080
94,2148,2513,Butter Naan,11-07-2023,12:34:41,Cancelled,2025
95,4679,8957,Chole Bhature,11-02-2023,17:09:53,Cancelled,699
96,244,4307,Kulfi,18-05-2024,17:32:20,Completed,2352
97,4872,4616,Fish Curry,28-05-2024,07:12:08,Cancelled,1837
98,936,7908,Masala Dosa,11-07-2022,15:16:09,Completed,999
99,9176,9551,Masala Papad,06-11-2022,22:18:49,Completed,2164
100,1896,5785,Chicken Tikka,02-08-2022,19:46:04,Completed,394
101,2541,2830,Masala Dosa,20-02-2023,09:19:33,Completed,1755
102,6857,4283,Masala Dosa,20-09-2023,20:05:17,Completed,2092
103,8312,8628,Galouti Kebab,10-10-2023,15:59:19,Completed,2277
104,9070,8335,Haleem,26-05-2023,09:15:18,Completed,2004
105,4872,3740,Dal Fry,16-07-2023,14:05:31,Completed,1415
106,8844,7576,Lemon Rice,27-12-2024,16:48:00,Completed,2010
107,147,8904,Rogan Josh,17-12-2022,09:47:30,Completed,1199
108,1142,4699,Dal Tadka,02-05-2024,13:23:17,Completed,113
109,6613,8721,Poha,18-12-2022,07:56:18,Completed,1159
110,1935,1841,Biryani,03-11-2022,22:11:22,Completed,794
111,6627,4574,Rabri,01-04-2023,20:05:14,Cancelled,1109
112,7415,1026,Gulab Jamun,28-09-2024,17:39:55,Cancelled,497
113,8823,6039,Rasgulla,21-07-2023,11:11:31,Completed,1650
114,7329,595,Rajma Chawal,24-06-2023,17:38:56,Completed,612
115,6435,6651,Jeera Rice,22-04-2023,07:58:08,Cancelled,1221
116,7348,3369,Masala Dosa,09-02-2024,15:18:01,Completed,415
117,5722,2180,Prawn Masala,23-10-2023,22:56:15,Completed,289
