restaurant_id,restaurant_name,city,opening_hours
1,Modern Chowk Bar & Kitchen,Jaipur,6:00 PM - 3:00 AM
2,Biryani Kabab & Co.,Hyderabad,9:00 AM - 12:00 AM
3,Golden Chowk,Bengaluru,8:00 AM - 11:00 PM
4,Desi Garden Bar & Kitchen,Bengaluru,11:00 AM - 11:00 PM
5,Urban Garden Place,Mumbai,10:00 AM - 10:00 PM
6,Cafe Thali & Co.,Mumbai,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
7,Biryani Spice,Mumbai,9:00 AM - 11:00 PM
8,Biryani Flame Express,Hyderabad,7:00 AM - 10:00 PM
9,Silver Tandoor Hub,Pune,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
10,Grand Annapoorna Bar & Kitchen,Delhi,11:30 AM - 11:45 PM
11,New Palace Bar & Kitchen,Delhi,10:00 AM - 11:00 PM
12,Big Table & Co.,Delhi,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
13,Old Haveli & Co.,Kolkata,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
14,Golden Swad Junction,Ahmedabad,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
15,Desi Mahal Bar & Kitchen,Kolkata,8:00 AM - 10:00 PM
16,Royal Kitchen Hub,Chennai,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
17,Fusion Grill Lounge,Kolkata,12:00 PM - 12:00 AM
18,Desi Flame Junction,Delhi,6:00 PM - 3:00 AM
19,Old Mahal Lounge,Delhi,9:00 AM - 11:00 PM
20,Cafe Bazaar Lounge,Mumbai,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
21,Cafe Kitchen Cafe,Hyderabad,"12:00 PM - 3:00 PM, 7:00 PM - 11:00 PM"
22,The Curry & Co.,Hyderabad,10:00 AM - 10:00 PM
23,Silver Zaika Lounge,Bengaluru,11:00 AM - 11:00 PM
24,Heritage Darbar Bar & Kitchen,Chennai,7:00 AM - 10:00 PM
25,Golden Curry Point,Kolkata,7:00 AM - 10:00 PM
26,Heritage Chowk Bar & Kitchen,Kolkata,10:00 AM - 11:00 PM
27,Cafe Dhaba,Hyderabad,24 Hours
28,Hotel House Hub,Bengaluru,8:00 AM - 10:00 PM
29,Desi Tandoor Junction,Jaipur,6:00 PM - 3:00 AM
30,New Darbar Bar & Kitchen,Delhi,9:00 AM - 12:00 AM
31,Hotel Curry Junction,Pune,6:00 PM - 3:00 AM
32,Big Mahal,Hyderabad,24 Hours
33,Cafe Annapoorna Cafe,Chennai,"6:30 AM - 11:00 AM, 12:30 PM - 8:30 PM"
34,Fusion Spice & Co.,Delhi,"12:00 PM - 2:30 PM, 7:00 PM - 11:00 PM"
35,Heritage Table Junction,Ahmedabad,8:00 AM - 10:00 PM
36,New Dosa & Co.,Mumbai,12:00 PM - 12:00 AM
37,Fusion Palace & Co.,Delhi,11:30 AM - 11:45 PM
38,Modern Swad Cafe,Chennai,8:00 AM - 10:00 PM
39,Classic Annapoorna Bar & Kitchen,Mumbai,10:00 AM - 11:00 PM
40,Cafe Grill Junction,Ahmedabad,24 Hours
41,The Tandoor Place,Bengaluru,7:00 AM - 10:00 PM
42,Big Corner Place,Bengaluru,12:00 PM - 12:00 AM
43,Restaurant House Place,Surat,11:30 AM - 11:45 PM
44,Biryani Mahal Point,Hyderabad,"11:00 AM - 3:00 PM, 7:00 PM - 11:30 PM"
45,Fusion Thali Express,Hyderabad,11:00 AM - 11:00 PM
46,Heritage Dosa Hub,Bengaluru,11:00 AM - 11:00 PM
47,New Garden Hub,Delhi,12:00 PM - 12:00 AM
48,New House Bar & Kitchen,Bengaluru,24 Hours
